																															Class	Blank	Blank	Blank	hyuA	hyuA	hyuA	WT	WT	WT	NA	NA	NA	NA	NA	NA
																															File type	Blank	Blank	Blank	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	Average	Average	Average	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	GAM_UA_1	GAM_UA_2	GAM_UA_3	hyuA_UA_1	hyuA_UA_2	hyuA_UA_3	WT_UA_1	WT_UA_2	WT_UA_3	Blank	hyuA	WT	Blank	hyuA	WT
84	0.78	90.05493	Unknown	[M+H]+		0.556	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	18.58	WT_UA_3	90.05493:6771 91.05828:0 92.06164:0		4252	2469	1289	15314	16854	21495	17511	18968	20136	2670.19291178385	17887.5133463542	18871.4524739583	1491.61037271463	3217.87210565903	1315.19471192848
87	5.391	90.97659	Unknown	[M+H]+		0.222	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1247.95	WT_UA_3	90.97659:127453 91.97994:2245 92.9833:797		17097	2280	617	380824	7807	3484	8073	8279	766576	6664.92816162109	130705.108723958	260976.135416667	9072.85713689851	216620.449941048	437862.60953375
88	5.163	90.97662	Unknown	[M+H]+	similar chromatogram in higher mz_1005	0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	114.76	hyuA_UA_2	90.97662:60766 91.97997:897 92.98333:308		14785	2175	2400	79969	313043	17834	17188	27909	360909	6453.59431966146	136948.397786458	135335.169921875	7216.35353052095	155634.729829352	195425.906003193
89	5.312	90.97665	Unknown	[M+H]+		0.333	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	973.77	WT_UA_3	90.97665:158300 91.98:2100 92.98336:588		6767	3407	3345	396342	6539	967	2176	359339	711321	4506.24072265625	134616.053304036	357611.817626953	1958.19421502673	226678.226576654	354575.458679305
90	6.754	93.05756	Unknown	[M+H]+	similar chromatogram in higher mz_655; similar chromatogram in higher mz_2951	0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	21.35	hyuA_UA_1	93.05756:3144 94.06091:0 95.06427:0		69	306	62	13496	432	1191	1225	1078	94	145.574746449788	5039.49916585286	799.044520060221	138.584023851978	7333.60132476224	615.135129923822
92	6.77	98.98402	Unknown	[M+H]+		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	79.1	WT_UA_3	98.98402:16076 99.98737:0 100.99073:0		1398	1770	1911	327	825	306	661	627	156088	1693.181640625	485.831481933594	52458.6654866536	265.244747548357	293.689121648724	89745.610853038
94	3.963	99.05527	Unknown	[M+H]+		0.444	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	19.15	hyuA_UA_2	99.05527:4537 100.05862:0 101.06198:430		972	1563	753	14905	14310	15844	12846	12733	13014	1095.88010660807	15019.4973958333	12864.1236979167	418.726204226167	773.100873704434	141.299456866562
96	4.566	100.07531	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	539.53	WT_UA_1	100.07531:322538 101.07866:0 102.08202:46452		11980	11672	10856	1032168	977155	989296	1089975	1007537	1002437	11502.7526041667	999539.604166667	1033316.35416667	581.032265309182	28901.4747001784	49134.0601211979
97	4.702	100.07536	Unknown	[M+H]+		0.222	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.08	hyuA_UA_1	100.07536:14083 101.07871:0 102.08207:2409		5549	4311	896	59350	53534	51759	49737	45952	63369	3585.49436442057	54880.68359375	53019.2721354167	2409.68797063662	3970.63190377438	9160.95332715653
105	4.27	100.11198	Unknown	[M+H]+		0.667	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	39.52	WT_UA_2	100.11198:29262 101.11533:2193 102.11869:3342		6097	2256	6858	75812	75901	71981	78024	85285	72019	5070.49780273438	74564.6171875	78442.5729166667	2466.73147335903	2237.96345044274	6642.73252651675
